name,province,company,langue,date_naissance,agee,age_permis,numeropol
Brian Simpson,Nova Scotia,"Thompson, Johnson and Taylor",fr,1945-07-12,71,32,310
Catherine Foster,Ontario,Ford PLC,fr,1948-03-25,69,27,317
James Hernandez,Ontario,Jacobson-Smith,en,1976-06-15,40,30,321
Cassandra Sanders,Saskatchewan,Neal PLC,en,1973-01-27,44,28,338
Frank James DDS,Nova Scotia,"Ward, Donovan and Carr",fr,1962-07-28,54,23,341
Nicholas Rowe,Nunavut,"Smith, Marquez and Oliver",en,1981-09-19,35,28,347
David Trevino,New Brunswick,"Larson, Rosario and Ingram",en,1996-12-15,20,18,348
Zachary Barnett,Northwest Territories,Brown Group,fr,1959-12-26,57,20,350
Tamara Ramirez,Yukon Territory,"Barnes, Cooper and Lewis",en,1989-08-03,27,27,352
Benjamin Marshall,Prince Edward Island,Meyer-Smith,fr,1999-03-22,18,18,353
Sarah Anderson,Northwest Territories,Clark-Bowman,en,1942-11-17,74,23,354
Anthony Bartlett,New Brunswick,"Johnson, Olson and Clark",en,1988-04-08,29,22,355
Gregory Morgan,Northwest Territories,"Miller, Hoover and Murray",fr,1983-03-22,34,24,358
Stephanie Warren,New Brunswick,Carr PLC,fr,1983-08-20,33,33,361
Michael Huffman,New Brunswick,Robinson Group,fr,1964-11-28,52,20,368
Brian Stout,Manitoba,James Ltd,fr,1955-01-14,62,19,369
Michele Coleman,Quebec,Carr-Phelps,en,1986-09-15,30,20,379
Lisa Hooper,British Columbia,"Brown, Davidson and Browning",fr,1949-07-07,67,28,385
Kimberly Blackburn,Saskatchewan,Guerrero-Martinez,fr,1976-01-23,41,35,390
William Green,Northwest Territories,Leach-Mason,fr,1968-08-02,48,26,399
Karen Rose,Nova Scotia,"Mitchell, Chambers and Nguyen",en,2000-04-26,17,17,401
Alejandro Cunningham,Quebec,"Owens, Smith and Stevenson",en,1949-01-22,68,31,402
Rachel Mckenzie,Saskatchewan,Davis Ltd,fr,1964-03-10,53,35,403
Scott Cabrera,Ontario,"Mckay, Adams and Peters",en,1942-07-28,74,17,408
Gabriel Weeks,Prince Edward Island,Mcclure-Hutchinson,en,1945-04-02,72,23,409
Michael Jacobs,Northwest Territories,James LLC,fr,1987-11-26,29,27,421
Cheryl Wong,Quebec,"Sullivan, Wilkins and Cross",fr,1989-07-02,27,27,433
Diana Stewart,Saskatchewan,Chambers-Carter,en,1991-01-13,26,26,440
Dawn Flores,Prince Edward Island,Morales-Thompson,fr,1965-03-01,52,25,446
Cory Johnson,Yukon Territory,Foster-Thomas,fr,1961-12-12,55,25,452
Thomas Santos,Northwest Territories,"Bowman, Perry and Alexander",en,1953-05-13,64,29,457
Danielle Barron,Manitoba,"Anderson, Jacobson and Lane",fr,1991-01-15,26,26,466
Margaret Harris,Saskatchewan,Rodriguez and Sons,fr,1966-06-10,50,28,467
Beth Brooks,Saskatchewan,Castro Group,fr,1960-11-07,56,32,468
William Boyd,Manitoba,"Glover, Brown and Clark",fr,1941-02-12,76,26,474
Ronald Alvarado,Northwest Territories,Juarez Ltd,fr,1955-01-22,62,24,475
Julie Chandler,Manitoba,"Howard, Weber and Nichols",en,1944-04-23,73,35,485
Catherine Wheeler,Alberta,Mendoza LLC,en,1970-04-29,47,26,486
Nicole Larson,Prince Edward Island,Harrington Group,fr,1982-09-27,34,21,487
Ashley Farrell,Manitoba,Shaw-Griffin,fr,1964-11-08,52,32,488
Susan Singleton,Prince Edward Island,Jimenez-Day,fr,1999-06-18,17,17,489
Michael Johnston Jr.,Yukon Territory,Sanchez and Sons,en,1997-01-15,20,20,495
Joseph Whitehead,Nova Scotia,Livingston-Choi,en,1949-10-31,67,28,497
Jacob Bernard,Quebec,Nguyen Group,fr,1969-07-11,47,29,501
Barbara Booth,Yukon Territory,Boyd Ltd,en,1946-05-15,71,30,504
James Arroyo,Quebec,"Jackson, Simpson and Harris",en,2000-03-04,17,17,508
Dawn Bailey MD,New Brunswick,"Gamble, Perry and Myers",fr,1979-10-27,37,34,509
Suzanne Wilkerson,Yukon Territory,Hill-Maldonado,fr,1990-11-12,26,26,512
Nathan Curtis,Newfoundland and Labrador,"Marshall, Hardy and Garcia",fr,1978-09-09,38,27,515
Stephanie Moore,Manitoba,"Ellis, Perez and Porter",en,1992-02-14,25,25,534
Brenda Marshall,Saskatchewan,Kelley-Nelson,en,1965-06-03,51,25,537
Lisa Lawrence,Yukon Territory,"Delacruz, Horton and Riggs",en,1953-12-13,63,26,540
Candace Compton,Prince Edward Island,Day-Walsh,fr,1973-07-11,43,23,552
Robin Huffman,Northwest Territories,Rodriguez-Williams,fr,1942-03-09,75,18,558
Sharon Gomez,Saskatchewan,Robinson-Stevenson,en,1977-12-24,39,27,562
Mark Norman,Nova Scotia,Moran-Norman,fr,1956-05-22,61,29,563
Christopher Jenkins,Alberta,"Jarvis, James and Munoz",en,1942-05-06,75,26,564
Sarah Lewis,New Brunswick,"Castro, Thomas and Hernandez",fr,1990-12-19,26,26,568
Veronica Leblanc,Prince Edward Island,"Goodman, Ramirez and Hunt",fr,1969-08-30,47,26,576
Thomas Nguyen,Alberta,"Leon, Howell and Kennedy",en,1990-05-29,27,17,582
Sherry Parks,Alberta,Miller and Sons,fr,1981-12-15,35,22,587
Valerie Cook,Newfoundland and Labrador,Henderson-Duncan,fr,1979-06-05,37,17,588
Edward Reyes,Ontario,Pruitt-Berg,en,1991-05-11,26,26,594
Nicole Freeman,Ontario,"Brown, Arnold and Zhang",en,1984-10-06,32,32,606
Michelle Lewis,Quebec,"Miller, Crane and Guerrero",en,1991-10-04,25,23,624
Jessica Shaffer,Prince Edward Island,Franklin Inc,fr,1954-10-20,62,26,625
Daniel Gray,British Columbia,Faulkner-Kent,fr,1957-05-21,60,32,630
Dana Terrell,British Columbia,Ryan Ltd,en,1999-10-30,17,17,646
Bryan Dixon,Yukon Territory,"Kim, Silva and Herrera",fr,1941-10-22,75,35,649
Joseph Davies,Nunavut,Esparza-Robinson,en,1983-08-22,33,19,658
David Johnson,Saskatchewan,"Johnson, Stark and Ramos",en,1941-10-13,75,26,664
Angela Bernard,Saskatchewan,Rodriguez Group,fr,1971-07-20,45,30,666
Austin Harris,Alberta,"Grimes, Johnson and Lindsey",en,1981-02-20,36,18,680
Tamara Kirk,Ontario,King-Blake,fr,1968-10-29,48,23,682
Chad Lee,Newfoundland and Labrador,Thompson-Wheeler,en,1964-08-22,52,31,684
Olivia Li,New Brunswick,"Horton, Anderson and Austin",en,1957-05-12,60,30,687
Tonya Pham,Nunavut,Williamson Inc,fr,1955-02-11,62,25,693
Vincent Taylor,Saskatchewan,Taylor-Johnson,fr,1999-05-29,18,18,696
Daniel Anderson,New Brunswick,Sampson Inc,fr,1952-12-06,64,25,697
Jacob Hughes,Nova Scotia,Morris LLC,fr,1951-04-14,66,27,699
Gerald Phillips,British Columbia,"Porter, Robinson and Wallace",en,1953-03-02,64,34,711
Paul Alvarez,Manitoba,Washington-Henderson,en,1982-11-06,34,17,712
Scott Durham,Newfoundland and Labrador,"Barton, Brown and Simon",fr,1985-04-20,32,22,730
Brandon Moore,Saskatchewan,Guzman-Ramirez,fr,1976-01-18,41,27,743
Melissa Morgan,Alberta,Mitchell LLC,fr,1994-05-16,23,23,786
Evelyn Johnson,Nova Scotia,Wright-Hogan,en,1979-05-17,38,31,802
Teresa Jones,New Brunswick,Rodgers PLC,fr,1984-09-06,32,20,806
John French,Quebec,"Dyer, Garcia and Morales",en,1976-10-15,40,19,818
Joshua Rodriguez,New Brunswick,"Reynolds, Gray and Hunter",en,1997-09-07,19,19,821
Leah Murray,Nova Scotia,Monroe-Whitney,en,1987-07-25,29,27,823
Kim Smith,Prince Edward Island,"Kaufman, Smith and Bray",fr,1947-09-04,69,34,827
Elijah Randall,Ontario,Stanley-Allen,fr,1983-01-13,34,32,831
Benjamin Webb,Quebec,Lee and Sons,fr,1972-09-02,44,21,837
Victor Curtis,New Brunswick,Parker-Bates,en,1943-07-10,73,18,844
John Lucas,Prince Edward Island,Hanna-Garner,en,1993-01-03,24,17,846
Emily Hall,Manitoba,"Owens, Williamson and Pope",fr,1958-07-12,58,25,849
Ann Long,Saskatchewan,"Bryant, Jones and Smith",en,1985-04-19,32,32,854
David Porter,Nunavut,Matthews-Bates,fr,1963-12-27,53,17,880
Judith Boyd,Saskatchewan,Garza-Lynch,en,1951-07-09,65,30,900
Shawn Martinez,British Columbia,"Martin, Lopez and Cline",fr,1974-09-15,42,29,902
Hannah Mcneil,Prince Edward Island,"Martin, Bird and Rhodes",fr,1955-05-06,62,34,906
Robert Wolf,Yukon Territory,"Smith, Wilson and Brown",fr,1998-02-19,19,19,911
Adrian Anderson,Alberta,Lewis and Sons,en,1978-07-03,38,27,918
Kerry Howard,Quebec,"Griffin, Thomas and Schmidt",en,1976-04-10,41,32,921
Anthony Hill,Nunavut,"Kelly, Roberts and Miller",fr,1965-05-23,52,29,927
Troy Jones,Saskatchewan,"Martinez, Jordan and Young",fr,1943-10-29,73,35,933
Reginald Barron,Newfoundland and Labrador,"Curry, Moore and Castaneda",en,1982-02-14,35,28,935
Victoria Solomon,Quebec,"Robertson, Ramos and Bennett",en,1964-12-08,52,17,936
Deborah Rhodes,Ontario,Callahan-Wilson,en,1944-01-27,73,27,938
Renee Cobb,Nunavut,"Mcintyre, Grant and Webb",en,1994-03-14,23,23,960
Lauren Reese,New Brunswick,"Young, Smith and Ramirez",en,1958-12-21,58,18,965
Jose Moore,Newfoundland and Labrador,Jackson Group,en,1965-08-25,51,32,975
Mary Freeman,Alberta,Walsh-Jones,en,1952-02-23,65,18,979
Robert Morgan,Newfoundland and Labrador,Richardson-Valencia,en,1963-02-10,54,35,980
Brandi Humphrey,New Brunswick,"Mills, Shannon and Horn",en,1998-12-06,18,18,995
Richard Byrd,Northwest Territories,Reynolds Group,en,1995-11-07,21,17,997
Jill Sandoval,New Brunswick,Hernandez-Johnson,en,1960-09-04,56,35,1003
James Gardner,Saskatchewan,"Douglas, Cohen and Valenzuela",fr,1941-10-09,75,24,1008
Carlos Boyd,New Brunswick,Little-Robinson,fr,1993-08-05,23,23,1009
Chad Scott,Ontario,Lopez Inc,en,1943-04-07,74,17,1011
Natalie Wright,Quebec,"Smith, Freeman and Rios",fr,1962-02-16,55,32,1013
Daniel Hunt,Quebec,Smith LLC,fr,1948-12-16,68,19,1018
Victoria Frost,Nova Scotia,Solis LLC,en,1997-10-15,19,19,1027
Michelle Hamilton,New Brunswick,Sanchez and Sons,fr,1953-06-12,63,25,1028
Allison Sharp,Nova Scotia,Anderson-Dillon,en,1985-12-09,31,31,1032
Andrea Perez,New Brunswick,Mitchell PLC,fr,1961-02-27,56,34,1035
Ashley Gregory,Prince Edward Island,Myers PLC,en,1948-08-17,68,28,1039
Joyce Jennings,Saskatchewan,Savage LLC,en,1991-08-16,25,18,1043
Joseph Cowan,Yukon Territory,Hanson-Carney,fr,1945-09-09,71,35,1044
Tara Lamb,Northwest Territories,Dickson Group,fr,1988-07-18,28,23,1061
Elizabeth Wood,Northwest Territories,"French, Sullivan and Hardin",fr,1943-01-08,74,32,1073
Michelle Todd,Prince Edward Island,Armstrong PLC,en,1963-03-11,54,22,1078
Nancy Moore,Alberta,Allen-Mueller,en,1948-06-01,69,29,1085
Christopher Gonzalez,Nova Scotia,Myers Group,en,1972-10-02,44,17,1087
Jason Cox,Yukon Territory,Wilson Ltd,en,1964-06-24,52,28,1098
Jenna Johnson,Saskatchewan,Mason Ltd,fr,1945-07-30,71,32,1106
Wayne Skinner,Ontario,"Harris, Smith and Stuart",en,1977-08-21,39,32,1109
Michelle Rivers,Nunavut,Parrish-Daniels,fr,1956-06-15,60,22,1117
Paul Garrison,Northwest Territories,Jones-Myers,fr,1955-11-14,61,24,1121
Dennis Chen,Saskatchewan,"Shaw, Fowler and Carey",fr,1998-07-04,18,18,1126
Barbara Robinson,Prince Edward Island,"Graves, Brown and Reid",en,1954-08-11,62,20,1129
Anthony Jackson,Quebec,Villegas-Hansen,en,1953-07-24,63,19,1130
Sarah Hammond,Yukon Territory,"Martinez, Navarro and Arellano",en,1955-11-21,61,31,1134
Daniel Rodriguez,Quebec,Mcconnell-Hernandez,fr,1947-06-07,69,31,1135
Elizabeth Wang,British Columbia,Smith Inc,fr,1997-12-19,19,19,1140
Mary Allen,Saskatchewan,Harris-Salinas,en,1945-01-06,72,34,1152
Kristi Martinez,British Columbia,Stanton-Robbins,en,1945-08-16,71,26,1153
Stacy Fry,Manitoba,Thomas-Lewis,fr,1957-02-05,60,19,1164
Jennifer Frazier,Prince Edward Island,Walton-Foster,fr,1946-10-21,70,22,1173
Michael Harris,Northwest Territories,"Palmer, Collins and Davis",fr,1987-08-03,29,17,1178
Diane Larson,Quebec,Ramirez-Myers,en,1953-06-12,63,24,1179
Francisco Norton,Alberta,"Adkins, Jones and Yang",en,1965-07-15,51,26,1181
Erika Jones,Prince Edward Island,"Espinoza, Morris and Romero",en,1983-09-29,33,23,1183
Scott Bean,Prince Edward Island,Hernandez-Doyle,en,1992-07-21,24,24,1184
Anthony Lee,Newfoundland and Labrador,Schroeder Group,fr,1996-04-22,21,17,1186
Christina Fischer,Alberta,Baldwin and Sons,fr,1988-01-07,29,28,1187
David Rivers,Ontario,"White, Smith and Roberts",fr,1964-10-03,52,23,1192
Jordan Davis,Ontario,"Obrien, Rivera and Bradley",fr,1956-10-18,60,28,1198
Anna Owens,Newfoundland and Labrador,Daniels-Foster,en,1962-03-09,55,34,1212
Latasha Hill,Manitoba,"Mcgee, Ray and Bryant",en,1952-11-04,64,25,1218
Bryan Anderson,New Brunswick,Allen-Rodriguez,fr,1998-06-01,19,19,1225
Donald Obrien,Quebec,Williams-Phillips,en,1947-08-02,69,34,1226
Nathaniel Allen,New Brunswick,Miller-Logan,fr,1989-05-25,28,28,1244
Matthew Irwin,New Brunswick,Martin Ltd,en,1982-05-23,35,28,1249
Matthew Huff,Saskatchewan,Mcbride Group,en,1952-12-07,64,24,1255
Latasha Hamilton,Newfoundland and Labrador,Torres Group,fr,1988-04-02,29,24,1259
Duane Bryant,Newfoundland and Labrador,Wright Group,en,1994-01-20,23,21,1262
Catherine Schmidt,New Brunswick,Cohen Group,fr,1995-06-15,21,21,1263
Colleen Bennett,New Brunswick,"Lewis, Barnett and Nicholson",fr,1997-07-01,19,19,1264
Marie Pena,Prince Edward Island,"Olsen, Murray and Landry",fr,1981-06-05,35,21,1268
Bryan Hoover,Quebec,Pearson-Brock,en,1949-08-17,67,27,1275
Javier Mccarthy,Yukon Territory,Young-Flowers,fr,1986-05-12,31,22,1280
Daisy Levine,Alberta,Mendoza-Hodge,fr,1974-11-21,42,29,1291
William James,New Brunswick,Thomas-Alvarez,en,1991-11-04,25,18,1305
Amanda Rodriguez,Nova Scotia,Irwin-Norris,en,1942-12-08,74,24,1307
Mark Mann,Manitoba,Brown-Dickerson,en,1990-02-07,27,27,1309
Ronnie Kramer,Northwest Territories,Hall LLC,en,1951-06-17,65,32,1316
Jasmine Bowers,Ontario,Johnson Group,en,1964-11-21,52,24,1318
Jenny Bonilla,Newfoundland and Labrador,Huff Inc,fr,1994-08-24,22,19,1319
Jose Sanchez,Quebec,Owen LLC,en,1971-05-16,46,18,1320
Cynthia Bass,Quebec,Scott LLC,en,1992-08-11,24,24,1321
Jill Arias,Newfoundland and Labrador,Allen-Hawkins,en,1974-11-05,42,33,1341
Tracy Hernandez,New Brunswick,"Grant, Johnson and Davis",fr,1946-05-15,71,19,1357
Alexandria Banks,Yukon Territory,"May, Huber and Davis",en,1962-11-06,54,29,1358
Emma Parker,New Brunswick,Bell LLC,fr,1989-01-12,28,17,1361
David Ramirez,Newfoundland and Labrador,Marsh Ltd,en,1964-06-03,52,23,1364
Theresa Lang,New Brunswick,"Landry, Franklin and Mcdaniel",en,1962-06-16,54,20,1370
Brian Johns,Prince Edward Island,Garrison-Johnson,en,1969-07-20,47,18,1377
Shawn Matthews,Nova Scotia,"Thompson, Parker and Williams",en,1998-12-08,18,18,1383
Stephanie Henderson,Saskatchewan,Patel-Martinez,en,1947-11-28,69,25,1396
Christopher Hernandez,Prince Edward Island,"Yoder, Davis and Gonzalez",fr,1958-12-01,58,34,1399
Deanna Moreno,Nova Scotia,Gaines Group,en,2000-07-21,16,16,1400
Laura Jensen,Manitoba,"Short, Chambers and Jensen",en,1978-09-23,38,28,1402
Kenneth Powell,Quebec,Thornton-Greene,fr,1990-12-26,26,26,1412
Randall Parrish,British Columbia,Murphy-Coleman,en,1993-11-13,23,20,1422
Erin Lara,Quebec,Gibbs and Sons,en,1985-06-23,31,31,1423
Alexander Ramirez,New Brunswick,"Flores, Smith and Martinez",fr,2000-01-25,17,17,1432
Kenneth Bailey,Saskatchewan,Santos-Christian,en,1983-11-30,33,17,1436
Anthony Mckay,British Columbia,Cox and Sons,fr,1993-06-19,23,18,1438
Taylor Bridges,Northwest Territories,Harrison and Sons,fr,2000-06-29,16,16,1442
Amanda Wilson,Prince Edward Island,Jacobson LLC,en,1959-07-04,57,26,1454
Jane Thompson,Ontario,Hunt-Gordon,en,1953-11-12,63,22,1466
Jenna Howard,Nunavut,Williams and Sons,fr,1965-12-26,51,17,1475
Garrett Fitzpatrick,Newfoundland and Labrador,Tran PLC,fr,1962-07-13,54,24,1476
Mary Williams,British Columbia,Wolf LLC,en,1959-03-20,58,19,1481
Donna Stevenson,Quebec,Wilkerson Inc,fr,1998-01-04,19,19,1484
Frederick Fletcher,Nunavut,Parker-Williamson,en,1964-05-13,53,23,1485
Jason White,Nunavut,Watkins Ltd,fr,1951-08-10,65,19,1487
Elizabeth Wang,New Brunswick,Vargas-Martinez,en,1940-12-01,76,25,1493
Rachael Reese,Nova Scotia,Castillo-Bell,fr,1993-02-24,24,23,1496
Lisa Douglas,Saskatchewan,"Davis, Miller and Donovan",fr,1956-08-19,60,23,1498
Billy Taylor,Northwest Territories,Khan LLC,en,1975-11-30,41,19,1499
Jennifer Knight,Yukon Territory,Medina-Barajas,fr,1976-05-30,41,19,1501
Thomas Smith,Nunavut,"Lewis, Vincent and Rivas",en,1949-11-25,67,30,1503
Scott Scott,Newfoundland and Labrador,"Parker, Singleton and Lopez",fr,1977-12-05,39,26,1508
Jamie Morris,Nunavut,Taylor LLC,fr,1994-06-15,22,22,1519
Carrie Vance,Nunavut,Burnett LLC,en,1968-06-15,48,31,1528
Eugene King,Saskatchewan,Martinez-Bass,en,1951-04-03,66,31,1533
Maria Brown,Yukon Territory,"Larson, Nichols and Craig",en,1964-02-26,53,25,1537
Jason Molina,Saskatchewan,Bennett and Sons,fr,1941-12-21,75,32,1546
Micheal Young,Yukon Territory,Hess-Hughes,en,1958-02-18,59,34,1548
Emily Smith,Quebec,Bell Ltd,en,1964-03-10,53,33,1551
Rebecca Medina,Quebec,"Sanchez, Butler and Summers",en,1949-06-12,67,17,1555
Hannah Hopkins,Nova Scotia,Robinson-Nixon,fr,1991-02-03,26,26,1565
Mary Randall,Nova Scotia,Barnes-Stanley,en,1971-04-01,46,21,1566
Christine Mason,New Brunswick,Allen-Yang,en,1959-07-11,57,18,1577
Kevin Delgado,Nunavut,Murillo Group,fr,1952-05-25,65,32,1585
April Smith,Newfoundland and Labrador,"Sims, Small and Shaffer",fr,1987-07-31,29,23,1600
Paul Campbell,Ontario,Shaw-Mercado,fr,1996-03-29,21,20,1605
Ronald Kelly,Northwest Territories,Peterson-Cantrell,en,1946-07-30,70,25,1608
Erik Gomez,Nunavut,Mcdaniel PLC,en,1983-03-30,34,21,1610
Kathleen Vargas,Saskatchewan,Clark Inc,fr,1956-02-27,61,32,1614
William Jacobs,Manitoba,"Key, Douglas and Reyes",fr,1941-03-09,76,21,1619
Joseph Shelton,Quebec,"Reyes, Cox and Browning",fr,1995-12-25,21,17,1624
Eric Woods,British Columbia,"Nichols, Callahan and Nguyen",en,1967-01-28,50,18,1627
Timothy Bennett,New Brunswick,Bradshaw-Rodriguez,fr,1986-05-12,31,24,1630
Olivia Mitchell,Saskatchewan,Miller-Mccarthy,en,1968-07-22,48,17,1633
Tiffany Mcneil,Prince Edward Island,Davis LLC,fr,1998-06-03,18,18,1645
Brittany Clark,Saskatchewan,"Lopez, Stewart and Wong",fr,1972-08-07,44,19,1646
Paul Rollins,Manitoba,"Smith, Lane and Bauer",en,1955-12-05,61,29,1684
Drew Barton,Yukon Territory,Phillips Group,en,1949-02-20,68,25,1688
Billy Dixon,Yukon Territory,Smith-Smith,en,1984-11-14,32,32,1692
Amanda Miller,Nunavut,"Howard, Mack and Howard",fr,1953-07-19,63,24,1696
Brendan Castro,Alberta,"Fernandez, Smith and Johnson",fr,1962-02-21,55,17,1697
Ashley Becker,Yukon Territory,Blake-Johnson,fr,1959-01-03,58,33,1698
Aaron Carlson,Northwest Territories,Taylor-Bruce,fr,1965-01-11,52,19,1701
Randy Thompson,British Columbia,Silva PLC,fr,1996-03-29,21,21,1703
William Morgan,Manitoba,"Navarro, Tucker and Clark",fr,1951-12-12,65,29,1706
Deborah Harvey,Saskatchewan,Wyatt-Hendricks,fr,1967-08-04,49,21,1708
Thomas Fleming,New Brunswick,"Cervantes, Campos and Le",en,1992-09-22,24,19,1714
Angela Williams,Alberta,Jackson Inc,en,1980-01-07,37,22,1718
Deborah Koch,New Brunswick,Fox Group,fr,1949-07-12,67,20,1727
Rebecca Ramirez,Newfoundland and Labrador,Lucero-Lopez,fr,1998-10-18,18,17,1739
Margaret Miller,Ontario,Osborn-Bray,en,1964-05-04,53,20,1775
Stacey Nguyen,Nunavut,Gregory Group,fr,1989-07-15,27,27,1780
John West,Quebec,Randolph-Bryant,en,1956-09-27,60,33,1785
John Martin,Nova Scotia,Haynes-Henry,fr,1994-03-11,23,23,1789
